Name,Twitter_name,Team
Kelly Olynyk,@KellyOlynyk,Boston Celtics
Brandon Bass,@bestbetbass,Boston Celtics
Avery Bradley,@aabradley11,Boston Celtics
Kris Humphries,@KrisHumphries,Boston Celtics
Jeff Green,@unclejeffgreen,Boston Celtics
Courtney Lee,@CourtneyLee2211,Boston Celtics
Fab Melo,@Fabpmelo,Boston Celtics
Rajon Rondo,@rajonrondo,Boston Celtics
Jared Sullinger,@Jared_Sully0,Boston Celtics
Andray Blatche,@drayblatche,Brooklyn Nets
Jason Terry ‏,@jasonterry31,Brooklyn Nets
Paul Pierce,‏@paulpierce34,Brooklyn Nets
Shaun Livingston,@ShaunLivingston,Brooklyn Nets
Reggie Evans,@ReggieEvans30,Brooklyn Nets
Damion James,@KONJames10,Brooklyn Nets
Mason Plumlee,@masonplumlee,Brooklyn Nets
Joe Johnson,@TheJoeJohnson7,Brooklyn Nets
Tyshawn Taylor,@tyshawntaylor,Brooklyn Nets
Mirza Teletovic,@MirzaTeletovic,Brooklyn Nets
Deron Williams,@DeronWilliams,Brooklyn Nets
Carmelo Anthony,@carmeloanthony,New York Knicks
Tyson Chandler,@tysonchandler,New York Knicks
CJ Leslie ‏,@ncsu_cleslie,New York Knicks
Raymond Felton,@RFeltonGBMS,New York Knicks
Jeremy Tyler,@jeremytyler3,New York Knicks
Tim Hardaway Jr,@T_HardJR,New York Knicks
Pablo Prigioni,@PPrigioni9,New York Knicks
Iman Shumpert,@I_Am_Iman,New York Knicks
J.R. Smith,@TheRealJRSmith,New York Knicks
Amar’e Stoudemire,@Amareisreal,New York Knicks
Andrea Bargnani,@AndreaBargnani,New York Knicks
Metta World Peace,@MettaWorldPeace,New York Knicks
Lavoy Allen,@Mr_5Hundred,Philadelphia 76ers
Daniel Orton,@danielorton21,Philadelphia 76ers
Tony Wroten,@TWroten_LOE,Philadelphia 76ers
Spencer Hawes,@spencerhawes00,Philadelphia 76ers
Hollis Thompson,@htdahot_twitta,Philadelphia 76ers
Dewayne Dedmon,@dedmon_21,Philadelphia 76ers
Arnett Moultrie,@amoultrie,Philadelphia 76ers
Jason Richardson,@jrich23,Philadelphia 76ers
Evan Turner,@thekidet,Philadelphia 76ers
Nerlens Noel,@NerlensNoel3,Philadelphia 76ers
Michael Carter-Willi,@MCW1,Philadelphia 76ers
James Anderson,@JA_Five,Philadelphia 76ers
