Name,Team,Twitter_name,Wiki,Division,Conference
Kadeem Allen,Boston Celtics,@AllenKadeem,/wiki/Kadeem_Allen,Atlantic Division,EASTERN CONFERENCE
Aron Baynes,Boston Celtics,@aronbaynes,/wiki/Aron_Baynes,Atlantic Division,EASTERN CONFERENCE
Jabari Bird,Boston Celtics,@JabariBird,/wiki/Jabari_Bird,Atlantic Division,EASTERN CONFERENCE
Jaylen Brown,Boston Celtics,@FCHWPO,/wiki/Jaylen_Brown,Atlantic Division,EASTERN CONFERENCE
Gordon Hayward,Boston Celtics,@gordonhayward,/wiki/Gordon_Hayward,Atlantic Division,EASTERN CONFERENCE
Al Horford,Boston Celtics,@Al_Horford,/wiki/Al_Horford,Atlantic Division,EASTERN CONFERENCE
Kyrie Irving,Boston Celtics,@KyrieIrving,/wiki/Kyrie_Irving,Atlantic Division,EASTERN CONFERENCE
Shane Larkin,Boston Celtics,@ShaneLarkin_3,/wiki/Shane_Larkin,Atlantic Division,EASTERN CONFERENCE
Abdel Nader,Boston Celtics,@AbdelNader2,/wiki/Abdel_Nader,Atlantic Division,EASTERN CONFERENCE
Semi Ojeleye,Boston Celtics,@semi,/wiki/Semi_Ojeleye,Atlantic Division,EASTERN CONFERENCE
Terry Rozier,Boston Celtics,@T_Rozzay3,/wiki/Terry_Rozier,Atlantic Division,EASTERN CONFERENCE
Marcus Smart,Boston Celtics,@smart_MS3,/wiki/Marcus_Smart,Atlantic Division,EASTERN CONFERENCE
Jayson Tatum,Boston Celtics,@jaytatum0,/wiki/Jayson_Tatum,Atlantic Division,EASTERN CONFERENCE
Daniel Theis,Boston Celtics,@dtheis10,/wiki/Daniel_Theis,Atlantic Division,EASTERN CONFERENCE
Guerschon Yabusele,Boston Celtics,@JohnSim22,/wiki/Guerschon_Yabusele,Atlantic Division,EASTERN CONFERENCE
Quincy Acy,Brooklyn Nets,@QuincyAcy,/wiki/Quincy_Acy,Atlantic Division,EASTERN CONFERENCE
Jarrett Allen,Brooklyn Nets,@_bigjayy_,/wiki/Jarrett_Allen,Atlantic Division,EASTERN CONFERENCE
DeMarre Carroll,Brooklyn Nets,@DeMarreCarroll1,/wiki/DeMarre_Carroll,Atlantic Division,EASTERN CONFERENCE
DeMarre Carroll,Brooklyn Nets,@DeMarreCarroll1,/wiki/DeMarre_Carroll,Atlantic Division,EASTERN CONFERENCE
Allen Crabbe,Brooklyn Nets,@allencrabbe,/wiki/Allen_Crabbe,Atlantic Division,EASTERN CONFERENCE
Spencer Dinwiddie,Brooklyn Nets,@SDinwiddie_25,/wiki/Spencer_Dinwiddie,Atlantic Division,EASTERN CONFERENCE
Milton Doyle,Brooklyn Nets,@MDLU35,/wiki/Milton_Doyle,Atlantic Division,EASTERN CONFERENCE
Rondae Hollis-Jefferson,Brooklyn Nets,@IAmCHAP24,/wiki/Rondae_Hollis-Jefferson,Atlantic Division,EASTERN CONFERENCE
Caris LeVert,Brooklyn Nets,@CarisLeVert,/wiki/Caris_LeVert,Atlantic Division,EASTERN CONFERENCE
Jeremy Lin,Brooklyn Nets,@JLin7,/wiki/Jeremy_Lin,Atlantic Division,EASTERN CONFERENCE
Jahlil Okafor,Brooklyn Nets,@JahlilOkafor,/wiki/Jahlil_Okafor,Atlantic Division,EASTERN CONFERENCE
D'Angelo Russell,Brooklyn Nets,@Dloading,/wiki/D%27Angelo_Russell,Atlantic Division,EASTERN CONFERENCE
Nik Stauskas,Brooklyn Nets,@NStauskas11,/wiki/Nik_Stauskas,Atlantic Division,EASTERN CONFERENCE
Isaiah Whitehead,Brooklyn Nets,@IsaiahW_15,/wiki/Isaiah_Whitehead,Atlantic Division,EASTERN CONFERENCE
Jacob Wiley,Brooklyn Nets,@Jwiley_24,/wiki/Jacob_Wiley,Atlantic Division,EASTERN CONFERENCE
Tyler Zeller,Brooklyn Nets,@ZellerTyler,/wiki/Tyler_Zeller,Atlantic Division,EASTERN CONFERENCE
Michael Beasley,New York Knicks,@Michael8easley,/wiki/Michael_Beasley,Atlantic Division,EASTERN CONFERENCE
Damyean Dotson,New York Knicks,@staytuned21,/wiki/Damyean_Dotson,Atlantic Division,EASTERN CONFERENCE
Tim Hardaway Jr.,New York Knicks,@T_HardJR,/wiki/Tim_Hardaway_Jr.,Atlantic Division,EASTERN CONFERENCE
Willy Hernangomez,New York Knicks,@willyhg94,/wiki/Willy_Hernang%C3%B3mez,Atlantic Division,EASTERN CONFERENCE
Isaiah Hicks,New York Knicks,@IDHicks,/wiki/Isaiah_Hicks,Atlantic Division,EASTERN CONFERENCE
Jarrett Jack,New York Knicks,@Jarrettjack03,/wiki/Jarrett_Jack,Atlantic Division,EASTERN CONFERENCE
Enes Kanter,New York Knicks,@Enes_Kanter,/wiki/Enes_Kanter,Atlantic Division,EASTERN CONFERENCE
Luke Kornet,New York Knicks,@bigshin32,/wiki/Luke_Kornet,Atlantic Division,EASTERN CONFERENCE
Courtney Lee,New York Knicks,@CourtneyLee5,/wiki/Courtney_Lee,Atlantic Division,EASTERN CONFERENCE
Doug McDermott,New York Knicks,@dougmcdermott,/wiki/Doug_McDermott,Atlantic Division,EASTERN CONFERENCE
Joakim Noah,New York Knicks,@JoakimNoah,/wiki/Joakim_Noah,Atlantic Division,EASTERN CONFERENCE
Frank Ntilikina,New York Knicks,@FrankLikina,/wiki/Frank_Ntilikina,Atlantic Division,EASTERN CONFERENCE
Kyle O'Quinn,New York Knicks,@kyle_oquinn,/wiki/Kyle_O%27Quinn,Atlantic Division,EASTERN CONFERENCE
Kristaps Porzingis,New York Knicks,@kporzee,/wiki/Kristaps_Porzi%C5%86%C4%A3is,Atlantic Division,EASTERN CONFERENCE
Ramon Sessions,New York Knicks,@SessionsRamon,/wiki/Ramon_Sessions,Atlantic Division,EASTERN CONFERENCE
Lance Thomas,New York Knicks,@MrLance42,/wiki/Lance_Thomas,Atlantic Division,EASTERN CONFERENCE
Jerryd Bayless,Philadelphia 76ers,@jerrydbayless,/wiki/Jerryd_Bayless,Atlantic Division,EASTERN CONFERENCE
Trevor Booker,Philadelphia 76ers,@35_Fitz,/wiki/Trevor_Booker,Atlantic Division,EASTERN CONFERENCE
Robert Covington,Philadelphia 76ers,@Holla_At_Rob33,/wiki/Robert_Covington,Atlantic Division,EASTERN CONFERENCE
Joel Embiid,Philadelphia 76ers,@joelembiid,/wiki/Joel_Embiid,Atlantic Division,EASTERN CONFERENCE
Markelle Fultz,Philadelphia 76ers,@MarkelleF,/wiki/Markelle_Fultz,Atlantic Division,EASTERN CONFERENCE
Richaun Holmes,Philadelphia 76ers,@Rich_Holmes22,/wiki/Richaun_Holmes,Atlantic Division,EASTERN CONFERENCE
Amir Johnson,Philadelphia 76ers,@iamamirjohnson,/wiki/Amir_Johnson,Atlantic Division,EASTERN CONFERENCE
Furkan Korkmaz,Philadelphia 76ers,@FurkanKorkmazFK,/wiki/Furkan_Korkmaz,Atlantic Division,EASTERN CONFERENCE
Timothé Luwawu-Cabarrot,Philadelphia 76ers,@timcabs,/wiki/Timoth%C3%A9_Luwawu-Cabarrot,Atlantic Division,EASTERN CONFERENCE
James Michael McAdoo,Philadelphia 76ers,@jamesmcadoo,/wiki/James_Michael_McAdoo,Atlantic Division,EASTERN CONFERENCE
T. J. McConnell,Philadelphia 76ers,@TJMcConnell,/wiki/T._J._McConnell,Atlantic Division,EASTERN CONFERENCE
Jacob Pullen,Philadelphia 76ers,@Jpullz0,/wiki/Jacob_Pullen,Atlantic Division,EASTERN CONFERENCE
J. J. Redick,Philadelphia 76ers,@JRedick4,/wiki/J._J._Redick,Atlantic Division,EASTERN CONFERENCE
Dario Saric,Philadelphia 76ers,@dariosaric,/wiki/Dario_%C5%A0ari%C4%87,Atlantic Division,EASTERN CONFERENCE
